time_s,time_min,orbit_fraction,min_visible_satellites,mean_visible_satellites,max_visible_satellites,mean_delay_ms,p95_delay_ms,max_delay_ms,route_availability,within_30ms_ratio
0.0000000000,0.0000000000,0.0000000000,2.0000000000,3.9644444444,10.0000000000,19.3466799468,34.5416759653,49.0387548065,1.0000000000,0.8852777778
116.9413691701,1.9490228195,0.0204081633,2.0000000000,4.0088888889,10.0000000000,19.3527259024,34.4953240733,49.1924909480,1.0000000000,0.8860714286
233.8827383402,3.8980456390,0.0408163265,2.0000000000,4.0133333333,10.0000000000,19.3706220873,34.5480050096,49.0665939398,1.0000000000,0.8846825397
350.8241075103,5.8470684585,0.0612244898,2.0000000000,3.9555555556,10.0000000000,19.4065190423,34.5174111059,49.0157940659,1.0000000000,0.8846825397
467.7654766804,7.7960912780,0.0816326531,2.0000000000,3.9777777778,10.0000000000,19.4258747330,34.6454109221,49.2364890475,1.0000000000,0.8828968254
584.7068458505,9.7451140975,0.1020408163,2.0000000000,4.0088888889,10.0000000000,19.3114864447,34.3041545032,49.0224346918,1.0000000000,0.8875793651
701.6482150206,11.6941369170,0.1224489796,2.0000000000,3.9955555556,11.0000000000,19.3432782421,34.3127263601,48.8791753064,1.0000000000,0.8863888889
818.5895841907,13.6431597365,0.1428571429,2.0000000000,4.0133333333,10.0000000000,19.3309904593,34.3030360370,48.9843571148,1.0000000000,0.8855952381
935.5309533608,15.5921825560,0.1632653061,2.0000000000,3.9866666667,10.0000000000,19.3038142101,34.3764405444,49.5101418031,1.0000000000,0.8857539683
1052.4723225308,17.5412053755,0.1836734694,2.0000000000,3.9644444444,11.0000000000,19.3886734938,34.5221518604,49.3390267249,1.0000000000,0.8829365079
1169.4136917009,19.4902281950,0.2040816327,2.0000000000,3.9955555556,11.0000000000,19.3286153318,34.5126369687,49.2516932652,1.0000000000,0.8843253968
1286.3550608710,21.4392510145,0.2244897959,2.0000000000,4.0355555556,12.0000000000,19.2580166458,34.3713352851,49.1959711394,1.0000000000,0.8864285714
1403.2964300411,23.3882738340,0.2448979592,2.0000000000,4.0177777778,11.0000000000,19.2906885407,34.4072667942,49.0608516848,1.0000000000,0.8863095238
1520.2377992112,25.3372966535,0.2653061224,2.0000000000,4.0666666667,11.0000000000,19.2256340423,34.2522536116,49.2538030150,1.0000000000,0.8878571429
1637.1791683813,27.2863194730,0.2857142857,2.0000000000,4.0755555556,12.0000000000,19.1899909073,34.2556745952,49.3321749304,1.0000000000,0.8891269841
1754.1205375514,29.2353422925,0.3061224490,2.0000000000,4.1022222222,11.0000000000,19.2024397671,34.3647235711,48.9760518851,1.0000000000,0.8883333333
1871.0619067215,31.1843651120,0.3265306122,2.0000000000,4.0977777778,11.0000000000,19.2387594591,34.3785773822,48.2047255353,1.0000000000,0.8858333333
1988.0032758916,33.1333879315,0.3469387755,2.0000000000,4.0755555556,12.0000000000,19.2400323429,34.4259494913,49.2709605834,1.0000000000,0.8871031746
2104.9446450617,35.0824107510,0.3673469388,2.0000000000,4.1733333333,12.0000000000,19.1652562355,34.4009449442,49.1410786855,1.0000000000,0.8880952381
2221.8860142318,37.0314335705,0.3877551020,2.0000000000,4.1600000000,11.0000000000,19.1703568865,34.3277552527,49.0589611331,1.0000000000,0.8897619048
2338.8273834019,38.9804563900,0.4081632653,2.0000000000,4.1911111111,11.0000000000,19.1078976699,34.1331584936,49.2519483570,1.0000000000,0.8905158730
2455.7687525720,40.9294792095,0.4285714286,2.0000000000,4.2266666667,12.0000000000,19.0915119600,34.0890639360,51.6822507016,1.0000000000,0.8901587302
2572.7101217421,42.8785020290,0.4489795918,2.0000000000,4.2266666667,11.0000000000,19.0909457977,34.1421797294,51.6060811837,1.0000000000,0.8914682540
2689.6514909122,44.8275248485,0.4693877551,2.0000000000,4.2222222222,11.0000000000,19.1148278425,34.2088332209,51.5699729844,1.0000000000,0.8908730159
2806.5928600823,46.7765476680,0.4897959184,2.0000000000,4.2488888889,12.0000000000,19.0662934576,34.1862411326,48.4752985104,1.0000000000,0.8925000000
2923.5342292524,48.7255704875,0.5102040816,2.0000000000,4.2755555556,11.0000000000,19.1065225663,34.2764777512,49.6588734625,1.0000000000,0.8901587302
3040.4755984224,50.6745933070,0.5306122449,2.0000000000,4.2800000000,11.0000000000,19.0772016315,34.2296438583,49.8498744839,1.0000000000,0.8913888889
3157.4169675925,52.6236161265,0.5510204082,2.0000000000,4.2800000000,12.0000000000,19.0281557006,34.1277955968,49.6013636425,1.0000000000,0.8946031746
3274.3583367626,54.5726389460,0.5714285714,2.0000000000,4.2577777778,11.0000000000,19.0759574621,34.2024081003,51.6946518512,1.0000000000,0.8920238095
3391.2997059327,56.5216617655,0.5918367347,2.0000000000,4.2666666667,11.0000000000,19.0949701408,34.2083101996,51.7038329273,1.0000000000,0.8919444444
3508.2410751028,58.4706845850,0.6122448980,2.0000000000,4.2933333333,12.0000000000,19.0785936399,34.1024679133,51.7279887393,1.0000000000,0.8919444444
3625.1824442729,60.4197074045,0.6326530612,2.0000000000,4.3422222222,12.0000000000,18.9878589211,33.9219305181,49.5026615500,1.0000000000,0.8949603175
3742.1238134430,62.3687302241,0.6530612245,2.0000000000,4.3066666667,11.0000000000,19.0682640146,34.1734763415,49.1742128611,1.0000000000,0.8916666667
3859.0651826131,64.3177530436,0.6734693878,2.0000000000,4.2755555556,11.0000000000,19.0740717390,34.1436445695,49.1361745914,1.0000000000,0.8919444444
3976.0065517832,66.2667758631,0.6938775510,2.0000000000,4.2666666667,12.0000000000,19.0066313914,34.0678775882,49.2153921103,1.0000000000,0.8940873016
4092.9479209533,68.2157986826,0.7142857143,2.0000000000,4.2533333333,11.0000000000,19.1005886088,34.2441310870,49.2408911778,1.0000000000,0.8915873016
4209.8892901234,70.1648215021,0.7346938776,2.0000000000,4.1911111111,11.0000000000,19.1522005774,34.2775460075,50.0856458533,1.0000000000,0.8902380952
4326.8306592935,72.1138443216,0.7551020408,2.0000000000,4.1777777778,12.0000000000,19.1409990167,34.2200415430,50.1333731284,1.0000000000,0.8897222222
4443.7720284636,74.0628671411,0.7755102041,2.0000000000,4.1288888889,12.0000000000,19.1505626933,34.1967449873,49.4509624161,1.0000000000,0.8903968254
4560.7133976337,76.0118899606,0.7959183673,2.0000000000,4.1377777778,11.0000000000,19.1684856293,34.2887282645,49.3930186400,1.0000000000,0.8886111111
4677.6547668038,77.9609127801,0.8163265306,2.0000000000,4.1466666667,12.0000000000,19.1661729207,34.3338632303,49.9522672687,1.0000000000,0.8892063492
4794.5961359739,79.9099355996,0.8367346939,2.0000000000,4.1200000000,12.0000000000,19.1765145827,34.3765836103,49.7810049666,1.0000000000,0.8890476190
4911.5375051439,81.8589584191,0.8571428571,2.0000000000,4.0977777778,11.0000000000,19.2038573758,34.3003052949,48.6388694345,1.0000000000,0.8879761905
5028.4788743140,83.8079812386,0.8775510204,2.0000000000,4.0355555556,11.0000000000,19.3101850779,34.4957071641,48.4968886785,1.0000000000,0.8831349206
5145.4202434841,85.7570040581,0.8979591837,2.0000000000,4.0577777778,12.0000000000,19.2545894692,34.3714578265,49.5999604448,1.0000000000,0.8861904762
5262.3616126542,87.7060268776,0.9183673469,2.0000000000,4.0488888889,11.0000000000,19.2385107861,34.3515908566,49.2073573015,1.0000000000,0.8873015873
5379.3029818243,89.6550496971,0.9387755102,2.0000000000,3.9733333333,11.0000000000,19.3677509276,34.4858519578,49.1078600321,1.0000000000,0.8828968254
5496.2443509944,91.6040725166,0.9591836735,2.0000000000,4.0577777778,11.0000000000,19.2780917268,34.3519568202,49.1172863559,1.0000000000,0.8873809524
5613.1857201645,93.5530953361,0.9795918367,2.0000000000,4.0355555556,11.0000000000,19.3201385530,34.3632808051,49.2229344741,1.0000000000,0.8862301587
